Ticker Symbol,Company Name,Last Price,7D Return,1Y Return,Market Cap,Analysts Target,Valuation,Growth,Div Yield,Industry
WATA.N0000,Watawala Plantations,LK₨88.00,0,0.153,LK₨17.9b,n/a,PE7.6x,n/a,17.00%,"Food, Beverage & Tobacco"
CALT.N0000,Capital Alliance,LK₨45.40,0.025,-0.17,LK₨15.0b,n/a,PE1.1x,n/a,46.30%,Diversified Financials
FCT.N0000,First Capital Treasuries,LK₨23.70,0.009,-0.416,LK₨14.6b,n/a,PE1.3x,n/a,38.00%,Diversified Financials
LWL.N0000,Lanka Walltiles,LK₨50.70,0.01,-0.023,LK₨13.8b,n/a,PE5.1x,n/a,9.30%,Capital Goods
CDB.N0000,Citizens Development Business Finance,LK₨210.50,0,0.053,LK₨13.8b,n/a,PE5.9x,n/a,3.30%,Diversified Financials
TILE.N0000,Lanka Tiles,LK₨50.00,0,0.01,LK₨13.3b,n/a,PE4.6x,n/a,11.40%,Capital Goods
MAL.N0000,Malwatte Valley Plantations,LK₨58.80,-0.02,-0.028,LK₨12.7b,n/a,PS1.3x,n/a,0.30%,"Food, Beverage & Tobacco"
COCR.N0000,Commercial Credit and Finance,LK₨39.30,0.023,-0.005,LK₨12.5b,n/a,PE2.9x,n/a,10.20%,Diversified Financials
LGL.X0000,LAUGFS Gas,LK₨19.00,0,-0.14,LK₨12.4b,n/a,PB2.5x,n/a,0%,Energy
TAP.N0000,Ambeon Capital,LK₨12.20,-0.024,24.50%,LK₨12.2b,n/a,PE6.9x,n/a,0%,Software
LAMB.N0000,Kotmale Holdings,LK₨389.50,0,3.90%,LK₨12.2b,n/a,PE19x,n/a,0%,"Food, Beverage & Tobacco"
ABL.N0000,Amãna Bank,LK₨21.40,-0.009,-10.80%,LK₨11.8b,n/a,PB0.5x,n/a,0%,Banks
VLL.N0000,Vidullanka,LK₨12.80,-0.008,103.20%,LK₨11.8b,n/a,PE9.5x,n/a,4.70%,Utilities
LMF.N0000,Lanka Milk Foods (CWE),LK₨28.40,-0.004,81.50%,LK₨11.4b,n/a,PE5x,n/a,2.20%,"Food, Beverage & Tobacco"
CFVF.N0000,First Capital Holdings,LK₨27.70,0.018,-37.80%,LK₨11.2b,n/a,PE1.3x,n/a,62.30%,Diversified Financials
SHL.N0000,Softlogic Holdings,LK₨9.00,0.034,n/a,LK₨10.7b,n/a,PE-0.6x,n/a,0%,Capital Goods
GRAN.N0000,Ceylon Grain Elevators,LK₨174.00,-0.004,64.90%,LK₨10.4b,n/a,PE3.3x,n/a,10.30%,"Food, Beverage & Tobacco"
UBC.N0000,Union Bank of Colombo,LK₨9.50,0.022,-11.20%,LK₨10.3b,n/a,PB0.5x,n/a,0%,Banks
VFIN.N0000,Vallibel Finance,LK₨41.50,0,4.30%,LK₨9.8b,n/a,PE4.8x,n/a,4.80%,Diversified Financials
JAT.N0000,JAT Holdings,LK₨19.00,-0.045,11.80%,LK₨9.7b,n/a,PE9.5x,n/a,2.60%,Materials
PABC.N0000,Pan Asia Banking,LK₨20.60,-0.005,28.00%,LK₨9.1b,n/a,PB0.4x,n/a,1.20%,Banks
HNBF.N0000,HNB Finance,LK₨5.20,0.04,-14.80%,LK₨9.0b,n/a,PE14.4x,n/a,0%,Diversified Financials
HASU.N0000,HNB Assurance,LK₨58.10,0.002,2.80%,LK₨8.7b,n/a,PE4.8x,n/a,6.70%,Insurance
GUAR.N0000,Ceylon Guardian Investment Trust,LK₨96.40,-0.031,-1.10%,LK₨8.5b,n/a,PE3x,n/a,0%,Diversified Financials
HARI.N0000,Harischandra Mills,"LK₨4,400.00",0,10.00%,LK₨8.4b,n/a,PE37.3x,n/a,1.40%,"Food, Beverage & Tobacco"
JINS.N0000,Janashakthi Insurance,LK₨36.80,0.008,-0.50%,LK₨8.3b,n/a,PE2x,n/a,36.00%,Insurance
NAMU.N0000,Namunukula Plantations,LK₨339.50,-0.003,-12.90%,LK₨8.1b,n/a,PE4.2x,n/a,4.10%,"Food, Beverage & Tobacco"
GHLL.N0000,Galadari Hotels (Lanka),LK₨16.00,0.006,3.20%,LK₨8.0b,n/a,PE78x,n/a,n/a,Consumer Services
TRAN.N0000,Trans Asia Hotels,LK₨40.00,-0.024,-20.00%,LK₨8.0b,n/a,PE46.2x,n/a,0%,Consumer Services
MERC.N0000,Mercantile Investments and Finance,"LK₨2,600.00",0,n/a,LK₨7.8b,n/a,PE14.1x,n/a,0.80%,Diversified Financials
PLR.N0000,Prime Lands Residencies,LK₨7.90,-0.013,-8.10%,LK₨7.4b,n/a,PE6.6x,n/a,7.60%,Real Estate Management and Development
HELA.N0000,Hela Apparel Holdings,LK₨5.60,0.018,-26.30%,LK₨7.4b,n/a,PB1.7x,n/a,n/a,Consumer Durables
CBNK.N0000,Cargills Bank,LK₨7.80,0.013,n/a,LK₨7.4b,n/a,PB0.6x,n/a,n/a,Banks
ELPL.N0000,Elpitiya Plantations,LK₨99.80,-0.007,6.60%,LK₨7.3b,n/a,PE4.6x,n/a,5.00%,"Food, Beverage & Tobacco"
TAFL.N0000,Three Acre Farms,LK₨306.00,0.007,83.20%,LK₨7.2b,n/a,PE2.5x,n/a,10.50%,"Food, Beverage & Tobacco"
